#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
414	M-H-CH2O2S	15686712	1	Cephalexin	Isolated	NIST	0.0	spectra/specs_ms.mgf414	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	N/A	HCD	Negative	ESI	268.109	lib-00033.mgf	Bronze	3	0.943867	1.13825	0.000305176	1	NIST17	NIST	268.109	N/A	0	11	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)[NH3+])SC1)C(=O)[O-]	-1	268.109	specs_ms.mgf	CCMSLIB00003719954	1.51e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1014	M-H	139755-83-2	1	Sildenafil - Dark Web Drugs	Other	A. Jarmusch	0.0	spectra/specs_ms.mgf1014	InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)	N/A	Orbitrap	Negative	ESI	473.198	lib-00013.mgf	Bronze	3	0.943386	4.25648	0.00201416	1	GNPS-LIBRARY	Dorrestein	473.198	N/A	0	7	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C	-1	473.2	specs_ms.mgf	CCMSLIB00005434455	481200	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1012	M+HCO2	63423	1	Lactose	Isolated	NIST	0.0	spectra/specs_ms.mgf1012	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11?,12?/m1/s1	N/A	HCD	Negative	ESI	387.114	lib-00033.mgf	Bronze	3	0.942898	2.83801	0.00109863	1	NIST17	NIST	387.114	N/A	0	9	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	-1	387.116	specs_ms.mgf	CCMSLIB00003665134	148500	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1206	2M-H	26787-78-0	1	Amoxicilin - Dark Web Drugs	Other	A. Lu	0.0	spectra/specs_ms.mgf1206	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1	N/A	Orbitrap	Negative	ESI	729.203	lib-00013.mgf	Bronze	3	0.936772	6.27759	0.00457764	1	GNPS-LIBRARY	Dorrestein	729.203	N/A	0	9	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	729.208	specs_ms.mgf	CCMSLIB00005434449	372400	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
123	M-H	27176870	1	Spectral Match to Dodecylbenzenesulfonic acid from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf123	N/A	N/A	QqQ	Negative	ESI	325.185	lib-00032.mgf	Bronze	3	0.916161	0	0	1	GNPS-NIST14-MATCHES	Data from Kevin Bush	325.185	N/A	0	9	N/A	-1	325.185	specs_ms.mgf	CCMSLIB00003135432	2.835e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
444	M-H-CO2	15686712	1	Cephalexin	Isolated	NIST	0.0	spectra/specs_ms.mgf444	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	N/A	HCD	Negative	ESI	302.097	lib-00033.mgf	Bronze	3	0.913369	0.606115	0.000183105	1	NIST17	NIST	302.097	N/A	0	14	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)[NH3+])SC1)C(=O)[O-]	-1	302.097	specs_ms.mgf	CCMSLIB00003719937	1.31345e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1611	[M-H]-	N/A	1	Tadalafil	isolated	MoNA:VF-NPL-QEHF000167	0.0	spectra/specs_ms.mgf1611	InChI=1S/C22H19N3O4/c1-24-10-19(26)25-16(22(24)27)9-14-13-4-2-3-5-15(13)23-20(14)21(25)12-6-7-17-18(8-12)29-11-28-17/h2-8,16,21,23H,9-11H2,1H3/t16-,21-/m1/s1	N/A	ESI-QFT	negative	N/A	388.13	lib-00029.mgf	Bronze	3	0.908179	6.91919	0.00268555	1	MONA	MoNA	388.13	N/A	0	5	N/A	-1	388.133	specs_ms.mgf	CCMSLIB00004691230	1.0094e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
114	M-H-CO2	26787780	1	Amoxicillin	Isolated	NIST	0.0	spectra/specs_ms.mgf114	InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9?,10-,11+,14-/m1/s1	N/A	HCD	Negative	ESI	320.107	lib-00033.mgf	Bronze	3	0.887679	3.43208	0.00109863	1	NIST17	NIST	320.107	N/A	0	13	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C	-1	320.108	specs_ms.mgf	CCMSLIB00003474317	6.26e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
470	[M-H]-	N/A	1	HYDROQUINIDINE	isolated	MoNA:VF-NPL-QEHF003075	0.0	spectra/specs_ms.mgf470	InChI=1S/C20H26N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h4-6,8,11,13-14,19-20,23H,3,7,9-10,12H2,1-2H3	N/A	ESI-QFT	negative	N/A	325.192	lib-00029.mgf	Bronze	3	0.880051	21.4905	0.00698853	1	MONA	MoNA	325.192	N/A	0	5	N/A	-1	325.185	specs_ms.mgf	CCMSLIB00004694138	5.959e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
748	M-H	83905-01-05	1	Azithromycin - Dark Web Drugs	Other	A. Lu	0.0	spectra/specs_ms.mgf748	InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1	N/A	Orbitrap	Negative	ESI	747.502	lib-00013.mgf	Bronze	3	0.868748	2.77617	0.0020752	1	GNPS-LIBRARY	Dorrestein	747.502	N/A	0	7	CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O	-1	747.504	specs_ms.mgf	CCMSLIB00005434454	1.2208e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1129	M-H-C6H12O6	4618182	1	Lactulose	Isolated	NIST	0.0	spectra/specs_ms.mgf1129	InChI=1S/C12H22O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h5-15,17-21H,1-3H2/t5-,6-,7-,8+,9+,10-,11-,12+/m1/s1	N/A	HCD	Negative	ESI	161.046	lib-00033.mgf	Bronze	3	0.859023	3.12669	0.00050354	1	NIST17	NIST	161.046	N/A	0	5	C(C1C(C(C(C(O1)OC(C(CO)O)C(C(=O)CO)O)O)O)O)O	-1	161.045	specs_ms.mgf	CCMSLIB00003643083	1.0655e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
352	M-H-C6H7O3N	69534	1	Ampicillin	Isolated	NIST	0.0	spectra/specs_ms.mgf352	InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1	N/A	HCD	Negative	ESI	207.06	lib-00033.mgf	Bronze	3	0.831317	0.958005	0.000198364	1	NIST17	NIST	207.06	N/A	0	5	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C	-1	207.06	specs_ms.mgf	CCMSLIB00003474504	5.55e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1567	[M-H]-	N/A	1	MoNA:278442 Sulfadimethoxine	isolated	MoNA	0.0	spectra/specs_ms.mgf1567	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	N/A	LC-ESI-ITFT	 	LC-ESI-ITFT	309.066	lib-00029.mgf	Bronze	3	0.724441	2.56727	0.000793457	1	MONA	MoNA	309.066	N/A	0	9	N/A	-1	309.067	specs_ms.mgf	CCMSLIB00000573245	1.6361e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
